Unnamed: 0,name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price
9712,Aadvik Camel Milk Chocolate | A Shark Tank Product | Classic 70g Premium Chocolate,accessories,Bags & Luggage,https://m.media-amazon.com/images/I/511L8Yju-IL._AC_UL320_.jpg,https://www.amazon.in/Aadvik-Camel-Chocolate-Classic-Premium/dp/B09K7S6NJZ/ref=sr_1_9721?qid=1679144216&s=luggage&sr=1-9721,4.4,42,₹247,₹249
5838,"SahiBUY Assorted Key and Tag Label Keychain, Pack of 45",accessories,Bags & Luggage,https://m.media-amazon.com/images/I/41ctfJyoh8L._AC_UL320_.jpg,https://www.amazon.in/SahiBUY-Assorted-Label-Keychain-Pack/dp/B00KG92YLI/ref=sr_1_5847?qid=1679144080&s=luggage&sr=1-5847,4.2,638,₹170,₹499
14926,CHANCY 3 in 1 Ear Buds and Eye Mask Realistic Pillow with Soft Velvet Flocked Finish and Air-lock Facility Travel Kit Comb...,accessories,Bags & Luggage,https://m.media-amazon.com/images/I/41Khymjq3AL._AC_UL320_.jpg,https://www.amazon.in/CHANCY-Air-Travel-Kit-Combo/dp/B07GZKZQFK/ref=sr_1_14983?qid=1679144388&s=luggage&sr=1-14983,3.2,5,₹199,₹299
12363,"SGA Enterprises Cotton Tote Shopping Bags with Extra Strong 12 inch Handle|Hold 15kgs|Heavy Duty, Washable, Eco Friendly C...",accessories,Bags & Luggage,https://m.media-amazon.com/images/I/41nyyHAASgL._AC_UL320_.jpg,https://www.amazon.in/Enterprises-Shopping-Washable-Friendly-Multipurpose/dp/B0B66YV174/ref=sr_1_12420?qid=1679144306&s=luggage&sr=1-12420,3.5,3,₹399,₹999
17579,"DEZFUL Casual Backpack with Laptop Compartment for School, College, Travel Backpack Water Resistant and Lightweight - Grey...",accessories,Bags & Luggage,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/9144UUaqKQL._AC_UL320_.jpg,https://www.amazon.in/Backpack-Compartment-College-Resistant-Lightweight/dp/B09ZXJPNNH/ref=sr_1_17632?qid=1679144474&s=luggage&sr=1-17632,3.1,11,₹599,"₹1,999"
14593,INDOZY Jute Bag for Lunch Tiffin & Gifting | for Men Women Girl boy Kid Office Daily use Handbag | with Zip & 2 Inside Poc...,accessories,Bags & Luggage,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71kUGjh8evL._AC_UL320_.jpg,https://www.amazon.in/INDOZY-Tiffin-Gifting-Handbag-Pockets/dp/B08634BDF8/ref=sr_1_14646?qid=1679144379&s=luggage&sr=1-14646,4.2,45,₹225,₹399
12088,Delsey Rami Polyester 55 Cm 4 Double Wheels Blue Soft Suitcase,accessories,Bags & Luggage,https://m.media-amazon.com/images/I/81j2tuCGg1L._AC_UL320_.jpg,https://www.amazon.in/Delsey-Polyester-Double-Wheels-Suitcase/dp/B0B1C244W7/ref=sr_1_12097?qid=1679144292&s=luggage&sr=1-12097,3.0,3,"₹7,399","₹15,300"
8873,FEDRA Polyester 27 Cms Travel bags(WHITE_BLUE),accessories,Bags & Luggage,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71roJwP5PqL._AC_UL320_.jpg,https://www.amazon.in/FEDRA-Expandable-Waterproof-Polyester-Luggage/dp/B08T761PJ5/ref=sr_1_8882?qid=1679144188&s=luggage&sr=1-8882,3.5,32,₹429,"₹2,299"
13479,"savri Personalized Pen, Stainless Steel Advocate Symbol Keychain and Leather Men's wallet Combo with Charm and Your Name E...",accessories,Bags & Luggage,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/41Nr02myihL._AC_UL320_.jpg,https://www.amazon.in/Personalized-Stainless-Advocate-Engraved-Professional/dp/B09XH5CLHZ/ref=sr_1_13536?qid=1679144341&s=luggage&sr=1-13536,4.5,22,₹899,"₹1,399"
11661,SEASPIRIT LED Rechargeable Headlamp Flashlight 3500 Lumen Waterproof and Comfortable Headlamp 5 Lights 6 Modes Ultra Brigh...,accessories,Bags & Luggage,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61QnrulAAtL._AC_UL320_.jpg,https://www.amazon.in/SEASPIRIT-Rechargeable-Flashlight-Waterproof-Comfortable/dp/B08Y6Q7PVK/ref=sr_1_11670?qid=1679144278&s=luggage&sr=1-11670,3.8,11,"₹1,179","₹2,599"
4789,uppercase Medium 21L Quilted Laptop Backpack 2500EBP2 3x more water repellent sustainable bags with rain proof zippers for...,accessories,Bags & Luggage,https://m.media-amazon.com/images/I/51ajQZypwyL._AC_UL320_.jpg,https://www.amazon.in/uppercase-Backpack-2500EBP2-repellent-sustainable/dp/B0BRMYYQK5/ref=sr_1_4798?qid=1679144046&s=luggage&sr=1-4798,4.7,9,"₹1,400","₹2,200"
7917,Kuber Industries Shopping Bag For Grocery| Rexine Foldable Hand Bag|Vegtable Grocery Bag With Inside Zipper Pocket And Man...,accessories,Bags & Luggage,https://m.media-amazon.com/images/I/71jNOXYxlML._AC_UL320_.jpg,https://www.amazon.in/Kuber-Industries-Shopping-Foldable-Vegtable/dp/B0BHYNCQF7/ref=sr_1_7926?qid=1679144156&s=luggage&sr=1-7926,,,,₹299
6995,Peora Clutch Purses for Women Wedding Handmade Evening Handbags Party Bridal Clutch,accessories,Bags & Luggage,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/81h0kRHyzKL._AC_UL320_.jpg,https://www.amazon.in/Peora-Clutch-Detachable-Evening-C61CRM/dp/B0B1TN8DKV/ref=sr_1_7004?qid=1679144126&s=luggage&sr=1-7004,4.2,14,"₹1,499","₹6,995"
7178,GANSTA Full Rim Aviator Branded Latest and Stylish Sunglasses | 100% UV Protected | Men & Women | Medium | GN-3002-Sil-Blu...,accessories,Bags & Luggage,https://m.media-amazon.com/images/I/516gbHjJNvL._AC_UL320_.jpg,https://www.amazon.in/Gansta-Protected-Aviator-Sunglasses-Gn-3002-Sil-Blu/dp/B015U83I6Y/ref=sr_1_7187?qid=1679144132&s=luggage&sr=1-7187,3.6,437,₹239,"₹1,299"
