article1_id,article2_id,ad1_id,ad2_id,score
86,68,3,3,0.8251593112945557
95,72,3,3,0.7822504639625549
79,88,3,3,0.783989667892456
39,78,3,3,0.7678672075271606
65,2,3,3,0.7465929985046387
26,50,3,3,0.904586911201477
91,14,3,3,0.7609991431236267
4,38,3,3,0.7250676155090332
47,8,3,3,0.7339963912963867
91,89,3,3,0.831427812576294
33,78,3,3,0.8145797252655029
51,11,3,3,0.8584805727005005
58,56,3,3,0.7526717185974121
89,79,3,3,0.8045470118522644
27,26,3,3,0.8298428654670715
34,18,3,3,0.7810963988304138
91,82,3,3,0.7785879373550415
15,36,3,3,0.7151997089385986
54,32,3,3,0.7718608975410461
12,73,3,3,0.8575831055641174
67,82,3,3,0.7405219674110413
56,14,3,3,0.8075459599494934
72,2,3,3,0.7593386769294739
25,67,3,3,0.8714345097541809
56,13,3,3,0.8325618505477905
1,41,3,3,0.7734750509262085
64,67,3,3,0.8674306869506836
67,14,3,3,0.9046514630317688
76,15,3,3,0.7802164554595947
45,67,3,3,0.8913276791572571
13,2,3,3,0.810775876045227
68,61,3,3,0.8034098148345947
27,8,3,3,0.8526067137718201
55,28,3,3,0.7828543782234192
37,30,3,3,0.721421480178833
50,64,3,3,0.8055300712585449
29,20,3,3,0.8509166836738586
24,13,3,3,0.8087719082832336
91,81,3,3,0.7945573925971985
10,82,3,3,0.7296866178512573
67,92,3,3,0.9256829619407654
38,71,3,3,0.7912728190422058
62,90,3,3,0.7895695567131042
76,55,3,3,0.7571466565132141
30,43,3,3,0.7333555221557617
6,70,3,3,0.778573751449585
48,58,3,3,0.7380063533782959
8,95,3,3,0.8155859112739563
51,39,3,3,0.7634994983673096
8,46,3,3,0.8355768322944641
95,29,3,3,0.818058967590332
13,39,3,3,0.8155500292778015
67,69,3,3,0.8592554330825806
8,51,3,3,0.7407220602035522
43,4,3,3,0.712889552116394
82,75,3,3,0.7382636666297913
87,53,3,3,0.6584832072257996
40,65,3,3,0.7295753359794617
15,49,3,3,0.7265888452529907
73,86,3,3,0.7395702600479126
1,46,3,3,0.8935106992721558
68,33,3,3,0.8552220463752747
36,76,3,3,0.7482853531837463
81,2,3,3,0.7825730443000793
33,51,3,3,0.8813373446464539
8,35,3,3,0.8709790706634521
73,54,3,3,0.7793469429016113
89,11,3,3,0.8646677136421204
82,51,3,3,0.7852601408958435
94,13,3,3,0.8136920928955078
63,60,3,3,0.7626828551292419
0,15,3,3,0.6972076892852783
71,55,3,3,0.8054774403572083
30,88,3,3,0.7491875290870667
10,26,3,3,0.7782827615737915
46,45,3,3,0.8586056232452393
3,15,3,3,0.8058215975761414
85,47,3,3,0.7854539752006531
46,43,3,3,0.7481169700622559
66,62,3,3,0.8215179443359375
53,32,3,3,0.7030030488967896
69,60,3,3,0.7779674530029297
70,87,3,3,0.7812121510505676
43,72,3,3,0.7862445116043091
54,79,3,3,0.7469367384910583
37,9,3,3,0.7977766394615173
66,53,3,3,0.7457648515701294
45,50,3,3,0.8253543972969055
4,88,3,3,0.6995388269424438
26,3,3,3,0.7712452411651611
31,64,3,3,0.8211815357208252
75,79,3,3,0.6929836273193359
44,95,3,3,0.7282721996307373
31,3,3,3,0.7801787853240967
9,84,3,3,0.863983690738678
75,31,3,3,0.7390947341918945
81,90,3,3,0.7889230251312256
13,62,3,3,0.7861343026161194
22,14,3,3,0.8063163161277771
51,20,3,3,0.8020012378692627
28,11,3,3,0.7935469746589661
56,85,3,3,0.8168135285377502
68,81,3,3,0.8216819167137146
57,64,3,3,0.7852965593338013
74,63,3,3,0.7684369683265686
81,76,3,3,0.855017364025116
30,95,3,3,0.8753774762153625
89,16,3,3,0.8284878730773926
1,23,3,3,0.8741045594215393
77,0,3,3,0.7340270280838013
